1.757812500000000000e-01	1.445312500000000000e-01	8.447265625000000000e-02	-4.486083984375000000e-03	-1.159667968750000000e-03	4.443359375000000000e-02	2.714843750000000000e-01	-2.899169921875000000e-03
3.515625000000000000e-02	6.713867187500000000e-04	-3.540039062500000000e-03	2.343750000000000000e-01	-1.365661621093750000e-03	3.359375000000000000e-01	1.007812500000000000e+00	1.086425781250000000e-02
9.277343750000000000e-02	5.742187500000000000e-01	-5.249023437500000000e-03	1.000000000000000000e+00	3.183593750000000000e-01	-1.171875000000000000e-02	3.007812500000000000e-01	5.151367187500000000e-02
7.382812500000000000e-01	1.015625000000000000e+00	8.085937500000000000e-01	1.007812500000000000e+00	5.976562500000000000e-01	1.007812500000000000e+00	1.007812500000000000e+00	5.664062500000000000e-01
1.000000000000000000e+00	4.199218750000000000e-01	3.535156250000000000e-01	4.472656250000000000e-01	-9.460449218750000000e-03	4.941406250000000000e-01	2.333984375000000000e-01	-3.387451171875000000e-03
9.960937500000000000e-01	9.843750000000000000e-01	6.445312500000000000e-01	5.078125000000000000e-01	9.570312500000000000e-01	1.000000000000000000e+00	1.007812500000000000e+00	3.281250000000000000e-01
1.007812500000000000e+00	2.968750000000000000e-01	8.945312500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	2.695312500000000000e-01	-1.025390625000000000e-02	9.960937500000000000e-01
1.007812500000000000e+00	1.000000000000000000e+00	6.796875000000000000e-01	9.960937500000000000e-01	1.000000000000000000e+00	4.785156250000000000e-01	-1.013183593750000000e-02	9.492187500000000000e-01
1.000000000000000000e+00	1.007812500000000000e+00	9.804687500000000000e-01	9.414062500000000000e-01	1.000000000000000000e+00	6.787109375000000000e-02	1.000000000000000000e+00	8.515625000000000000e-01
9.804687500000000000e-01	5.781250000000000000e-01	4.921875000000000000e-01	9.335937500000000000e-01	9.921875000000000000e-01	6.796875000000000000e-01	1.000000000000000000e+00	8.984375000000000000e-01
7.187500000000000000e-01	7.539062500000000000e-01	3.085937500000000000e-01	7.773437500000000000e-01	9.101562500000000000e-01	7.851562500000000000e-01	8.437500000000000000e-01	1.007812500000000000e+00
-5.035400390625000000e-03	9.687500000000000000e-01	9.101562500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	7.421875000000000000e-01	5.156250000000000000e-01	2.343750000000000000e-01
8.515625000000000000e-01	1.007812500000000000e+00	5.585937500000000000e-01	8.242187500000000000e-01	1.147460937500000000e-01	4.418945312500000000e-02	8.710937500000000000e-01	5.429687500000000000e-01
8.515625000000000000e-01	1.007812500000000000e+00	3.540039062500000000e-02	9.960937500000000000e-01	7.343750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.007812500000000000e+00
