4.375000000000000000e-01	4.199218750000000000e-01	2.304687500000000000e-01	3.437500000000000000e-01
1.875000000000000000e-01	5.625000000000000000e-01	4.589843750000000000e-01	5.234375000000000000e-01
7.617187500000000000e-01	8.750000000000000000e-01	5.507812500000000000e-01	8.085937500000000000e-01
8.125000000000000000e-01	9.140625000000000000e-01	6.796875000000000000e-01	7.968750000000000000e-01
6.015625000000000000e-01	8.164062500000000000e-01	6.523437500000000000e-01	6.757812500000000000e-01
6.835937500000000000e-01	8.359375000000000000e-01	8.398437500000000000e-01	5.664062500000000000e-01
4.746093750000000000e-01	9.804687500000000000e-01	6.953125000000000000e-01	5.312500000000000000e-01
9.218750000000000000e-01	9.531250000000000000e-01	1.000000000000000000e+00	4.121093750000000000e-01
8.671875000000000000e-01	7.500000000000000000e-01	5.351562500000000000e-01	9.921875000000000000e-01
9.960937500000000000e-01	1.007812500000000000e+00	1.000000000000000000e+00	6.406250000000000000e-01
7.734375000000000000e-01	3.417968750000000000e-01	7.734375000000000000e-01	9.414062500000000000e-01
1.007812500000000000e+00	5.429687500000000000e-01	9.023437500000000000e-01	6.132812500000000000e-01
1.718750000000000000e-01	3.164062500000000000e-01	7.578125000000000000e-01	5.664062500000000000e-01
4.882812500000000000e-01	1.007812500000000000e+00	6.601562500000000000e-01	7.890625000000000000e-01
1.007812500000000000e+00	2.968750000000000000e-01	4.648437500000000000e-01	6.015625000000000000e-01
4.335937500000000000e-01	4.160156250000000000e-01	4.160156250000000000e-01	5.664062500000000000e-01
8.906250000000000000e-01	1.007812500000000000e+00	-8.422851562500000000e-03	1.000000000000000000e+00
1.000000000000000000e+00	1.000976562500000000e-01	-9.582519531250000000e-03	9.804687500000000000e-01
4.062500000000000000e-01	7.539062500000000000e-01	6.796875000000000000e-01	8.476562500000000000e-01
6.132812500000000000e-01	-1.171875000000000000e-02	6.328125000000000000e-01	9.023437500000000000e-01
1.007812500000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	3.769531250000000000e-01
2.402343750000000000e-01	6.132812500000000000e-01	-5.432128906250000000e-03	4.941406250000000000e-01
6.347656250000000000e-02	4.375000000000000000e-01	1.015625000000000000e+00	6.484375000000000000e-01
2.714843750000000000e-01	1.669921875000000000e-01	7.226562500000000000e-01	-5.950927734375000000e-03
1.007812500000000000e+00	1.007812500000000000e+00	4.765625000000000000e-01	6.171875000000000000e-01
-2.868652343750000000e-03	1.007812500000000000e+00	3.222656250000000000e-01	-4.760742187500000000e-03
1.007812500000000000e+00	9.218750000000000000e-01	1.000000000000000000e+00	-6.744384765625000000e-03
7.656250000000000000e-01	1.007812500000000000e+00	7.968750000000000000e-01	1.007812500000000000e+00
