4.023437500000000000e-01	-9.574890136718750000e-04	6.523437500000000000e-01	2.021484375000000000e-01	-1.152038574218750000e-03	-1.441955566406250000e-03	2.373046875000000000e-01	1.296997070312500000e-04
2.275390625000000000e-01	4.785156250000000000e-02	4.414062500000000000e-01	3.613281250000000000e-01	7.265625000000000000e-01	4.023437500000000000e-01	1.826171875000000000e-01	7.812500000000000000e-01
1.386718750000000000e-01	5.859375000000000000e-01	5.000000000000000000e-01	4.179687500000000000e-01	5.346679687500000000e-02	5.195312500000000000e-01	9.062500000000000000e-01	8.984375000000000000e-01
4.902343750000000000e-01	9.570312500000000000e-01	8.867187500000000000e-01	9.062500000000000000e-01	5.625000000000000000e-01	6.132812500000000000e-01	6.640625000000000000e-01	9.765625000000000000e-01
5.976562500000000000e-01	7.226562500000000000e-01	-5.889892578125000000e-03	7.460937500000000000e-01	2.773437500000000000e-01	8.320312500000000000e-01	3.339843750000000000e-01	4.882812500000000000e-01
6.875000000000000000e-01	9.843750000000000000e-01	-7.202148437500000000e-03	9.218750000000000000e-01	6.132812500000000000e-01	7.343750000000000000e-01	4.160156250000000000e-01	7.890625000000000000e-01
7.226562500000000000e-01	7.890625000000000000e-01	4.042968750000000000e-01	9.765625000000000000e-01	3.984375000000000000e-01	8.085937500000000000e-01	5.937500000000000000e-01	8.203125000000000000e-01
8.515625000000000000e-01	9.726562500000000000e-01	9.414062500000000000e-01	1.201171875000000000e-01	-6.317138671875000000e-03	7.578125000000000000e-01	2.412109375000000000e-01	5.039062500000000000e-01
4.062500000000000000e-01	8.203125000000000000e-01	1.196289062500000000e-01	7.873535156250000000e-03	8.554687500000000000e-01	4.707031250000000000e-01	9.726562500000000000e-01	4.726562500000000000e-01
5.156250000000000000e-01	3.671875000000000000e-01	7.695312500000000000e-01	6.953125000000000000e-01	8.750000000000000000e-01	8.632812500000000000e-01	8.710937500000000000e-01	9.062500000000000000e-01
6.679687500000000000e-01	2.636718750000000000e-01	7.539062500000000000e-01	5.859375000000000000e-01	8.632812500000000000e-01	8.164062500000000000e-01	6.601562500000000000e-01	6.953125000000000000e-01
3.906250000000000000e-01	6.484375000000000000e-01	8.398437500000000000e-01	9.179687500000000000e-01	7.890625000000000000e-01	-8.926391601562500000e-04	8.437500000000000000e-01	5.195312500000000000e-01
9.726562500000000000e-01	3.144531250000000000e-01	6.289062500000000000e-01	8.554687500000000000e-01	1.007812500000000000e+00	5.195312500000000000e-01	6.562500000000000000e-01	9.335937500000000000e-01
7.812500000000000000e-01	6.093750000000000000e-01	8.398437500000000000e-01	9.804687500000000000e-01	8.984375000000000000e-01	4.277343750000000000e-01	7.929687500000000000e-01	8.085937500000000000e-01
-1.930236816406250000e-03	9.375000000000000000e-01	6.562500000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	4.345703125000000000e-02	5.742187500000000000e-01	4.394531250000000000e-01
1.007812500000000000e+00	8.632812500000000000e-01	1.000000000000000000e+00	9.101562500000000000e-01	9.804687500000000000e-01	-1.152038574218750000e-03	5.312500000000000000e-01	8.593750000000000000e-01
8.398437500000000000e-01	9.179687500000000000e-01	8.007812500000000000e-01	7.929687500000000000e-01	8.867187500000000000e-01	8.632812500000000000e-01	7.421875000000000000e-01	1.007812500000000000e+00
9.140625000000000000e-01	9.765625000000000000e-01	3.847656250000000000e-01	5.390625000000000000e-01	7.382812500000000000e-01	8.906250000000000000e-01	7.851562500000000000e-01	4.980468750000000000e-01
3.281250000000000000e-01	1.000000000000000000e+00	5.117187500000000000e-01	8.203125000000000000e-01	5.390625000000000000e-01	7.968750000000000000e-01	9.843750000000000000e-01	9.492187500000000000e-01
9.648437500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	5.195312500000000000e-01	2.656250000000000000e-01	7.382812500000000000e-01	7.734375000000000000e-01	8.984375000000000000e-01
8.554687500000000000e-01	8.320312500000000000e-01	3.300781250000000000e-01	7.265625000000000000e-01	7.265625000000000000e-01	8.945312500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
-3.814697265625000000e-03	9.218750000000000000e-01	9.726562500000000000e-01	-8.422851562500000000e-03	1.000000000000000000e+00	1.000000000000000000e+00	9.570312500000000000e-01	7.656250000000000000e-01
1.007812500000000000e+00	5.273437500000000000e-01	1.455078125000000000e-01	1.000000000000000000e+00	4.882812500000000000e-01	1.007812500000000000e+00	1.007812500000000000e+00	1.000000000000000000e+00
-6.378173828125000000e-03	9.023437500000000000e-01	3.750000000000000000e-01	9.882812500000000000e-01	5.195312500000000000e-01	1.000000000000000000e+00	1.007812500000000000e+00	6.328125000000000000e-01
6.679687500000000000e-01	7.109375000000000000e-01	6.835937500000000000e-01	8.125000000000000000e-01	7.226562500000000000e-01	9.960937500000000000e-01	9.960937500000000000e-01	8.515625000000000000e-01
