4.335937500000000000e-01	3.691406250000000000e-01	5.937500000000000000e-01	1.318359375000000000e-01
-5.218505859375000000e-03	5.742187500000000000e-01	4.516601562500000000e-02	6.406250000000000000e-01
5.859375000000000000e-01	8.515625000000000000e-01	7.968750000000000000e-01	8.984375000000000000e-01
9.218750000000000000e-01	7.265625000000000000e-01	6.914062500000000000e-01	7.382812500000000000e-01
8.632812500000000000e-01	7.148437500000000000e-01	9.335937500000000000e-01	3.007812500000000000e-01
8.007812500000000000e-01	1.007812500000000000e+00	8.671875000000000000e-01	6.328125000000000000e-01
5.742187500000000000e-01	9.882812500000000000e-01	8.007812500000000000e-01	6.250000000000000000e-01
9.648437500000000000e-01	9.648437500000000000e-01	1.000000000000000000e+00	7.226562500000000000e-01
5.664062500000000000e-01	8.671875000000000000e-01	6.718750000000000000e-01	6.562500000000000000e-01
8.945312500000000000e-01	8.984375000000000000e-01	1.000000000000000000e+00	9.726562500000000000e-01
1.000000000000000000e+00	7.382812500000000000e-01	9.375000000000000000e-01	8.203125000000000000e-01
7.851562500000000000e-01	6.757812500000000000e-01	4.804687500000000000e-01	8.632812500000000000e-01
4.609375000000000000e-01	7.617187500000000000e-01	8.828125000000000000e-01	9.609375000000000000e-01
2.216796875000000000e-01	8.242187500000000000e-01	8.593750000000000000e-01	9.531250000000000000e-01
1.000000000000000000e+00	8.046875000000000000e-01	7.812500000000000000e-01	6.484375000000000000e-01
3.671875000000000000e-01	2.536773681640625000e-04	6.054687500000000000e-01	4.863281250000000000e-01
9.804687500000000000e-01	1.007812500000000000e+00	1.367187500000000000e-01	1.007812500000000000e+00
1.007812500000000000e+00	8.178710937500000000e-03	2.929687500000000000e-01	7.500000000000000000e-01
8.320312500000000000e-01	3.183593750000000000e-01	8.164062500000000000e-01	4.296875000000000000e-01
2.197265625000000000e-01	-6.988525390625000000e-03	5.429687500000000000e-01	9.726562500000000000e-01
1.007812500000000000e+00	1.000000000000000000e+00	8.007812500000000000e-01	4.687500000000000000e-01
9.765625000000000000e-01	7.187500000000000000e-01	-5.401611328125000000e-03	7.265625000000000000e-01
7.187500000000000000e-01	6.250000000000000000e-01	4.726562500000000000e-01	6.015625000000000000e-01
4.824218750000000000e-01	6.328125000000000000e-01	9.140625000000000000e-01	-4.180908203125000000e-03
1.007812500000000000e+00	1.007812500000000000e+00	3.710937500000000000e-01	7.070312500000000000e-01
-3.173828125000000000e-03	1.000000000000000000e+00	1.157226562500000000e-01	-6.195068359375000000e-03
1.007812500000000000e+00	4.082031250000000000e-01	9.218750000000000000e-01	1.289062500000000000e-01
9.179687500000000000e-01	1.007812500000000000e+00	7.929687500000000000e-01	1.007812500000000000e+00
