3.359375000000000000e-01	8.105468750000000000e-02	9.257812500000000000e-01	4.785156250000000000e-01	1.464843750000000000e-01	-8.178710937500000000e-03	3.735351562500000000e-02	1.000000000000000000e+00
-1.007080078125000000e-02	-6.958007812500000000e-03	-1.019287109375000000e-02	-7.995605468750000000e-03	-9.887695312500000000e-03	-4.760742187500000000e-03	-9.582519531250000000e-03	-7.690429687500000000e-03
-8.422851562500000000e-03	-9.094238281250000000e-03	1.007812500000000000e+00	6.992187500000000000e-01	1.166992187500000000e-01	-7.293701171875000000e-03	-9.033203125000000000e-03	5.625000000000000000e-01
5.273437500000000000e-01	4.414062500000000000e-01	1.007812500000000000e+00	-6.835937500000000000e-03	-6.378173828125000000e-03	1.007812500000000000e+00	1.007812500000000000e+00	-6.378173828125000000e-03
7.968750000000000000e-01	7.265625000000000000e-01	2.343750000000000000e-01	-5.065917968750000000e-03	1.007812500000000000e+00	1.007812500000000000e+00	1.220703125000000000e-01	1.000000000000000000e+00
-4.211425781250000000e-03	3.691406250000000000e-01	1.943359375000000000e-01	1.007812500000000000e+00	6.562500000000000000e-01	5.507812500000000000e-01	9.179687500000000000e-01	4.550781250000000000e-01
9.882812500000000000e-01	4.003906250000000000e-01	1.007812500000000000e+00	8.554687500000000000e-01	-9.643554687500000000e-03	1.007812500000000000e+00	5.742187500000000000e-01	-6.469726562500000000e-03
1.007812500000000000e+00	-1.135253906250000000e-02	1.007812500000000000e+00	1.007812500000000000e+00	6.093750000000000000e-01	1.007812500000000000e+00	-6.896972656250000000e-03	6.601562500000000000e-01
-4.272460937500000000e-03	-1.171875000000000000e-02	1.000000000000000000e+00	1.000000000000000000e+00	1.007812500000000000e+00	5.312500000000000000e-01	-6.408691406250000000e-03	-1.422119140625000000e-02
7.304687500000000000e-01	7.890625000000000000e-01	6.093750000000000000e-01	1.000000000000000000e+00	4.355468750000000000e-01	-1.239013671875000000e-02	5.859375000000000000e-01	-6.286621093750000000e-03
1.007812500000000000e+00	4.785156250000000000e-01	-9.033203125000000000e-03	7.812500000000000000e-01	8.984375000000000000e-01	-9.765625000000000000e-03	-2.029418945312500000e-03	5.706787109375000000e-03
