3.691406250000000000e-01	3.242187500000000000e-01	7.617187500000000000e-01	3.339843750000000000e-01
8.281250000000000000e-01	7.265625000000000000e-01	4.375000000000000000e-01	5.781250000000000000e-01
9.140625000000000000e-01	6.132812500000000000e-01	8.476562500000000000e-01	9.179687500000000000e-01
6.835937500000000000e-01	9.492187500000000000e-01	7.851562500000000000e-01	7.265625000000000000e-01
8.164062500000000000e-01	8.750000000000000000e-01	6.914062500000000000e-01	8.671875000000000000e-01
7.734375000000000000e-01	7.304687500000000000e-01	8.242187500000000000e-01	8.984375000000000000e-01
7.070312500000000000e-01	9.062500000000000000e-01	8.164062500000000000e-01	9.648437500000000000e-01
7.812500000000000000e-01	7.890625000000000000e-01	8.710937500000000000e-01	7.070312500000000000e-01
8.789062500000000000e-01	7.734375000000000000e-01	6.406250000000000000e-01	9.257812500000000000e-01
9.765625000000000000e-01	9.492187500000000000e-01	6.757812500000000000e-01	8.437500000000000000e-01
9.804687500000000000e-01	9.218750000000000000e-01	8.281250000000000000e-01	9.140625000000000000e-01
7.890625000000000000e-01	7.773437500000000000e-01	7.656250000000000000e-01	9.023437500000000000e-01
8.789062500000000000e-01	8.710937500000000000e-01	9.687500000000000000e-01	8.437500000000000000e-01
8.007812500000000000e-01	9.882812500000000000e-01	9.023437500000000000e-01	7.773437500000000000e-01
8.437500000000000000e-01	8.593750000000000000e-01	7.421875000000000000e-01	8.046875000000000000e-01
7.929687500000000000e-01	8.984375000000000000e-01	9.375000000000000000e-01	9.335937500000000000e-01
9.218750000000000000e-01	9.687500000000000000e-01	9.492187500000000000e-01	8.046875000000000000e-01
7.968750000000000000e-01	8.437500000000000000e-01	8.398437500000000000e-01	8.984375000000000000e-01
8.867187500000000000e-01	7.656250000000000000e-01	8.085937500000000000e-01	8.554687500000000000e-01
7.695312500000000000e-01	7.343750000000000000e-01	8.554687500000000000e-01	9.492187500000000000e-01
1.000000000000000000e+00	8.867187500000000000e-01	8.906250000000000000e-01	8.710937500000000000e-01
7.617187500000000000e-01	8.437500000000000000e-01	8.828125000000000000e-01	7.343750000000000000e-01
9.335937500000000000e-01	8.906250000000000000e-01	6.406250000000000000e-01	8.515625000000000000e-01
7.656250000000000000e-01	9.921875000000000000e-01	7.656250000000000000e-01	6.054687500000000000e-01
5.273437500000000000e-01	8.828125000000000000e-01	7.031250000000000000e-01	9.960937500000000000e-01
5.156250000000000000e-01	7.734375000000000000e-01	6.953125000000000000e-01	8.593750000000000000e-01
7.617187500000000000e-01	9.218750000000000000e-01	8.437500000000000000e-01	7.343750000000000000e-01
9.062500000000000000e-01	5.898437500000000000e-01	8.203125000000000000e-01	9.179687500000000000e-01
